"GS","Defoliacion","ATGS","ARBDEF","NMuertos","PDSIGS","P_ARBDEF","ATPRIM","TMAXV","MALLIN_mean","mort_1","mort_2","mort_3"
1959,0,-0.0345,3,0,-2.079692714,0.7,0.871264328,18.87681333,0.984468485913571,0,0,0
1960,0,-0.531618529,0,0,-2.201296714,0,-0.095402339,16.65797333,0.670377007196798,0,0,0
1961,0,-0.304174214,0,0,-2.829231,0,-0.328735339,18.21449333,0.885051361376885,0,0,0
1962,1,0.500507329,104,0,-1.446534857,22.3,1.037930661,17.73913333,1.07566733243785,0,0,0
1963,0,-0.438070814,20,0,4.390126571,4.3,-0.328735672,16.98551,0.693567532313391,0,0,0
1964,0,-0.259878311,0,0,-1.204965171,0,0.171264328,17.29710333,1.26616239989956,0,0,0
1965,0,-0.545428745,13,0,2.622004857,2.8,-0.462069006,17.47971,0.940389844646463,0,0,0
1966,0,-0.303065069,6,0,3.200807571,1.3,-0.128735672,17.24203,1.06609528374255,0,0,0
1967,0,-0.166839931,13,0,2.289812567,2.7,0.404597661,17.40434667,1.27009463129584,0,0,0
1968,0,0.043066974,24,0,-1.77578,5,-0.195402339,17.51159667,1.20381455755552,0,0,0
1969,0,0.067981664,8,0,1.379568457,1.7,0.071263994,17.78116,1.11251656405755,0,0,0
1970,0,-0.575808867,4,0,0.4068787,0.8,-0.662069006,16.80145,0.934716552082599,0,0,0
1971,0,-0.452475487,8,1,2.916838857,1.7,-0.762068672,16.73043667,0.606507637890369,0,0,0
1972,0,-0.204834129,0,0,3.322886429,0,0.004598328,17.45797333,0.984686299179651,0,0,0
1973,0,-0.196033451,0,0,2.642757143,0,0.037930661,16.89275667,0.954761462464295,0,0,0
1974,0,-0.076578536,0,0,-1.965306857,0,-0.262069339,18.30724667,0.93163450067998,0,0,0
1975,0,-0.5708321,1,0,0.439783233,0.2,-0.962069006,16.47391667,0.907131082294656,0,0,0
1976,0,-0.467777631,8,0,0.070902886,1.6,-0.628735672,17.08261,1.24304846904228,0,0,0
1977,0,0.292997216,6,0,2.252089271,1.2,0.404597328,18.35797,1.18947888496438,0,0,1
1978,0,0.435726314,7,1,0.074019857,1.4,-0.162068672,18.23913,1.21817123551537,1,1,0
1979,0,0.075029994,6,0,2.344971857,1.2,-0.562068672,17.54058,1.10467274491082,0,0,0
1980,0,-0.0108362,45,0,1.803313271,9.3,-0.195402339,17.50289667,0.999498201244928,0,0,0
1981,0,0.439241076,3,2,-0.24975853,0.6,0.071264328,17.92608667,0.847698109288299,2,0,0
1982,1,0.104697413,240,1,0.642737157,49.9,0.004597994,17.27971333,0.892917032888759,1,0,0
1983,0,0.432772214,50,2,-2.701257714,10.4,0.971264328,17.26956667,0.460738051640166,2,0,0
1984,0,0.405649329,39,2,-3.552296857,8.1,0.137930994,18.09855333,0.92822985620822,1,1,0
1985,1,0.18542812,59,0,-2.345848714,12.3,0.337930994,17.23768333,0.985745158325101,0,0,0
1986,0,0.127667437,27,0,-1.504541571,5.6,0.004597661,18.33478333,0.901367458689392,0,1,0
1987,0,0.384983014,9,2,-1.522678286,1.9,0.671264328,17.91884333,0.98125864100086,1,0,0
1988,0,0.0037816,24,2,-2.530302143,5,-0.128735672,18.18695667,0.958669819085335,1,1,0
1989,0,0.527864961,9,0,-1.837702543,1.9,0.604597661,18.35942,1.20956044671947,0,0,0
1990,0,0.004058206,16,0,1.021193929,3.4,0.137930994,17.46522,1.14365587528912,1,0,0
1991,0,-0.185082486,27,2,-0.051518748,5.7,-0.995402006,17.46521667,1.16494611611751,1,0,0
1992,0,-0.063683183,2,1,-1.297761857,0.4,-0.662069339,17.42608667,1.13896730560093,1,0,0
1993,0,0.503429314,1,1,-2.558876286,0.2,0.071263994,17.84928,0.842211175681224,1,0,0
1994,0,-0.422464277,1,3,1.307812943,0.2,-0.262069006,17.14347667,0.800694739106151,2,1,0
1995,0,-0.308749214,0,0,-1.328493986,0,0.871264661,17.27101333,0.864215567959051,0,0,0
1996,0,0.035978371,2,1,-1.796269,0.4,-0.062068672,17.07246333,0.811787378006974,1,0,0
1997,0,-0.291416014,14,4,0.62786869,3,-0.662069006,18.10724667,1.0052411936618,3,2,0
1998,0,0.338866803,16,3,-1.606422,3.5,0.804597328,18.51594333,1.16741267173635,3,1,0
1999,0,0.407951726,10,5,-2.390740571,2.2,0.837931328,17.25362667,1.15773088980798,2,1,0
2000,0,-0.938380014,10,4,-1.809766457,2.2,-0.728735339,17.00434667,1.12505594666263,2,2,0
2001,0,0.05120652,0,2,-1.406681271,0,0.504597328,17.49275667,1.19461671231075,2,0,1
2002,0,-0.276410286,0,4,0.829752,0,-0.628735339,17.47246667,1.02442978411975,2,2,0
2003,0,0.292334606,1,3,-0.79270741,0.2,-0.795402339,18.47681333,0.98006054095569,4,0,0
2004,0,0.445771277,22,5,-2.738585714,5.1,0.237931328,18.03188667,1.17944656911935,3,1,0
2005,0,-0.00326571,11,5,-1.187035886,2.6,-0.462069339,17.38261,1.28008545378554,2,5,0
2006,0,-0.124842867,8,6,-2.327971714,1.9,-0.262068339,17.60724333,1.19817680672093,3,0,3
2007,0,0.234392237,14,8,-5.136158714,3.5,0.004597994,19.19710333,1.22277192111678,6,4,0
2008,0,0.69423621,3,12,-3.589543286,0.8,1.437930994,18.24203,1.0545877705879,3,6,0
2009,0,-0.772797504,20,16,-3.545408857,5.6,-1.395402339,17.32753667,0.692751217036368,10,5,4
2010,0,0.16591098,14,22,-2.329482571,4.9,0.071263994,18.00000333,1.13508459010936,8,12,3
2011,1,0.602805024,129,66,-3.051834,50,0.971264661,17.83623333,1.00956942686578,24,35,10
2012,0,0.385554971,45,17,-2.506267571,18,0.004597661,18.07536333,0.5459891380878,6,12,2
2013,0,-0.269650341,0,8,-1.636822429,0,0.604597661,17.14927667,0.761031981291395,6,1,0
2014,1,0.039605727,25,4,-1.699596143,12,0.204597328,18.56087,0.84657361140139,3,0,2
2015,0,-0.073419516,NA,8,-2.291961714,NA,-0.128735672,18.77826333,0.957421111264763,5,3,3
